m2700s22115,Bar.Pressure (mm-Hg),Solar Rad (wat/m2),RH (%),Temperature (*C),Rainfall (mm),Wind Dir (Deg),Wind Gust (km/h),Wind Speed (km/h),Dew Point (*C)
,mm-Hg,wat/m2,%,*C,mm,Deg,km/h,km/h,*C
,BAR,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
01-07-2022 06:50,727.2,16,58.9,32,0,53,20,12,23
01-07-2022 06:55,727.3,21,58.8,32,0,52,20,11,22.9
01-07-2022 07:00,727.3,27,58.7,31.9,0,60,17,12,22.8
01-07-2022 07:05,727.3,33,58.7,31.9,0,56,19,11,22.8
01-07-2022 07:10,727.3,41,58.6,31.9,0,55,20,14,22.8
01-07-2022 07:15,727.3,47,59.1,31.8,0,64,20,14,22.8
01-07-2022 07:20,727.5,53,59.3,31.9,0,64,16,11,23
01-07-2022 07:25,727.5,64,59.5,31.9,0,43,19,9,23
01-07-2022 07:30,727.6,86,59.6,31.9,0,56,17,11,23.1
01-07-2022 07:35,727.6,108,60,31.9,0,53,19,14,23.2
01-07-2022 07:40,727.6,109,60.1,31.9,0,57,20,12,23.2
01-07-2022 07:45,727.7,109,60.5,31.8,0,67,20,14,23.2
01-07-2022 07:50,727.7,106,60.8,31.8,0,67,20,14,23.3
01-07-2022 07:55,727.8,115,60.9,31.8,0,63,22,14,23.3
01-07-2022 08:00,727.8,141,60.9,31.9,0,56,19,12,23.4
01-07-2022 08:05,727.7,156,61.1,31.8,0,53,22,16,23.4
01-07-2022 08:10,727.8,152,61.2,31.8,0,55,20,16,23.4
01-07-2022 08:15,727.8,152,61.4,31.9,0,59,22,14,23.5
01-07-2022 08:20,727.7,150,61.5,31.8,0,57,22,14,23.5
01-07-2022 08:25,727.8,153,61.4,31.9,0,64,16,11,23.5
01-07-2022 08:30,727.8,167,62.1,31.7,0,60,22,17,23.5
01-07-2022 08:35,727.9,178,62.1,31.8,0,62,20,14,23.6
01-07-2022 08:40,727.9,196,62.1,31.8,0,62,19,14,23.6
01-07-2022 08:45,727.9,194,61.9,31.9,0,66,19,14,23.7
01-07-2022 08:50,727.8,187,61.8,31.9,0,45,20,14,23.7
01-07-2022 08:55,727.9,199,62.1,31.8,0,53,22,16,23.6
01-07-2022 09:00,727.9,210,62.1,31.8,0,50,19,14,23.6
01-07-2022 09:05,727.9,215,62.1,31.9,0,49,20,14,23.7
01-07-2022 09:10,727.9,232,61.8,32,0,57,22,12,23.8
01-07-2022 09:15,727.9,249,61.6,32.1,0,63,17,12,23.8
01-07-2022 09:20,727.8,279,62.2,31.9,0,57,22,16,23.8
01-07-2022 09:25,727.8,319,62,32.1,0,60,24,16,23.9
01-07-2022 09:30,727.7,341,60.9,32.5,0,70,17,9,24
01-07-2022 09:35,727.6,340,61.3,32.3,0,64,22,14,23.9
01-07-2022 09:40,727.5,339,61.1,32.4,0,63,20,12,23.9
01-07-2022 09:45,727.5,366,61.4,32.3,0,72,19,12,23.9
01-07-2022 09:50,727.5,375,60.6,32.5,0,57,20,14,23.9
01-07-2022 09:55,727.5,390,60.2,32.6,0,69,22,12,23.9
01-07-2022 10:00,727.4,426,59.3,32.6,0,62,24,14,23.6
01-07-2022 10:05,727.2,428,59.5,32.6,0,60,24,17,23.7
01-07-2022 10:10,727.3,412,59.1,32.6,0,52,19,12,23.6
01-07-2022 10:15,727.3,420,58.6,32.7,0,60,24,11,23.5
01-07-2022 10:20,727.2,446,57.8,32.9,0,79,17,11,23.5
01-07-2022 10:25,727,455,58,33.1,0,57,20,11,23.7
01-07-2022 10:30,727,490,57.6,33.1,0,91,20,9,23.6
01-07-2022 10:35,727,501,57.2,33.3,0,74,20,11,23.7
01-07-2022 10:40,726.9,483,57,33.2,0,76,16,8,23.5
01-07-2022 10:45,726.7,495,56.4,33.5,0,80,16,8,23.6
01-07-2022 10:50,726.7,482,56.3,33.4,0,79,17,9,23.5
01-07-2022 10:55,726.7,462,55.3,33.7,0,114,16,9,23.5
01-07-2022 11:00,726.7,462,55.4,33.7,0,115,14,9,23.5
01-07-2022 11:05,726.8,483,55.7,33.8,0,114,16,9,23.7
01-07-2022 11:10,726.8,501,55.6,33.8,0,103,14,8,23.7
01-07-2022 11:15,726.9,461,56.1,33.7,0,98,14,8,23.7
01-07-2022 11:20,726.7,409,56.2,33.6,0,73,16,6,23.7
01-07-2022 11:25,726.6,380,57,33.4,0,77,16,9,23.7
01-07-2022 11:30,726.8,416,57.4,33.3,0,81,19,9,23.7
01-07-2022 11:35,726.7,525,55.4,33.9,0,74,12,6,23.7
01-07-2022 11:40,726.5,595,55.5,33.7,0,83,16,11,23.6
01-07-2022 11:45,726.3,613,53.7,34.5,0,81,12,8,23.7
01-07-2022 11:50,726.1,546,54.2,34.3,0,105,12,4,23.7
01-07-2022 11:55,726,529,54.7,33.7,0,62,19,12,23.3
01-07-2022 12:00,726.1,532,53.8,34.1,0,83,17,12,23.4
01-07-2022 12:05,726.3,508,52.2,34.4,0,104,14,8,23.2
01-07-2022 12:10,726.3,481,52.7,34.3,0,100,14,8,23.3
01-07-2022 12:15,726.2,449,53.5,34.2,0,108,11,6,23.4
01-07-2022 12:20,726.2,416,53.4,34.2,0,87,16,8,23.4
01-07-2022 12:25,726.2,394,54.2,33.9,0,86,19,9,23.3
01-07-2022 12:30,726.4,371,54.2,33.8,0,79,12,6,23.3
01-07-2022 12:35,726.4,338,53.6,34.2,0,124,11,4,23.4
01-07-2022 12:40,726.4,310,54.9,33.7,0,77,14,6,23.4
01-07-2022 12:45,726.3,269,54.6,33.9,0,76,11,8,23.5
01-07-2022 12:50,726.4,273,54.2,34.1,0,90,9,4,23.5
01-07-2022 12:55,726.4,296,53.8,34.1,0,81,8,4,23.4
01-07-2022 13:00,726.4,288,54,34.1,0,118,9,4,23.5
01-07-2022 13:05,726.4,262,53.7,34.2,0,80,12,4,23.5
01-07-2022 13:10,726.3,196,54.4,33.9,0,70,8,3,23.4
01-07-2022 13:15,726.4,152,54.3,33.9,0,90,9,4,23.4
01-07-2022 13:20,726.4,150,54.6,33.6,0,66,11,4,23.2
01-07-2022 13:25,726.5,145,54.9,33.6,0,77,11,4,23.3
01-07-2022 13:30,726.6,160,54.8,33.7,0,76,9,4,23.3
01-07-2022 13:35,726.5,185,54.4,33.9,0,74,11,3,23.4
01-07-2022 13:40,726.4,220,54.7,33.9,0,49,8,3,23.5
01-07-2022 13:45,726.3,240,54.9,33.7,0,72,9,6,23.4
01-07-2022 13:50,726.3,237,53.8,34.1,0,86,6,1,23.4
01-07-2022 13:55,726.2,248,53.6,34.2,0,91,6,1,23.4
01-07-2022 14:00,726.1,230,53.6,34.2,0,90,9,3,23.4
01-07-2022 14:05,726.1,233,54.7,33.7,0,72,8,4,23.3
01-07-2022 14:10,726,242,54.7,33.7,0,72,11,8,23.3
01-07-2022 14:15,726.1,205,54.3,34.1,0,84,6,1,23.6
01-07-2022 14:20,726.1,155,54.7,33.8,0,87,6,3,23.4
01-07-2022 14:25,726.1,121,54.9,33.6,0,50,11,6,23.3
01-07-2022 14:30,726.2,91,55.5,33.5,0,73,9,4,23.4
01-07-2022 14:35,726.3,77,60.8,32.3,0.2,87,22,11,23.8
01-07-2022 14:40,727,75,73.9,29.7,1.2,93,17,11,24.5
01-07-2022 14:45,728,80,77.5,29.3,0.5,118,11,4,25
01-07-2022 14:50,728.4,60,79.6,28.2,2.7,194,24,14,24.3
01-07-2022 14:55,729,36,84.1,27.3,6.6,152,16,6,24.4
01-07-2022 15:00,729,36,88,26.8,5.5,87,4,1,24.6
01-07-2022 15:05,729,34,90.3,26.2,2,234,14,8,24.5
01-07-2022 15:10,729.1,27,90.5,26.4,2.2,227,19,6,24.7
01-07-2022 15:15,729.2,21,89.1,26.3,7.8,214,11,4,24.4
01-07-2022 15:20,729.4,16,89.9,25.6,7.6,159,12,6,23.8
01-07-2022 15:25,729.4,15,92.9,25.2,7.1,146,6,3,24
01-07-2022 15:30,729.4,16,94.2,25.1,3.5,163,8,3,24.1
01-07-2022 15:35,729.3,18,94.8,25.3,2.7,134,8,1,24.4
01-07-2022 15:40,729.3,17,95.2,25.3,3,100,12,8,24.5
01-07-2022 15:45,729.3,18,95.6,25.5,2,59,14,9,24.7
01-07-2022 15:50,729.1,19,95.7,25.3,1.2,52,14,9,24.6
01-07-2022 15:55,729,21,95.9,25.4,0.5,74,11,8,24.7
01-07-2022 16:00,729.1,18,95.8,25.4,0.2,55,12,8,24.7
01-07-2022 16:05,729,13,95.6,25.5,0,105,14,8,24.7
01-07-2022 16:10,729,14,95.4,25.6,0.2,63,14,8,24.8
01-07-2022 16:15,728.8,21,95.5,25.4,0.5,156,12,8,24.6
01-07-2022 16:20,728.6,27,95.3,25.4,0,139,17,9,24.6
01-07-2022 16:25,728.5,33,94.8,25.4,0.2,158,14,8,24.5
01-07-2022 16:30,728.3,40,93.6,25.4,0.2,159,16,8,24.3
01-07-2022 16:35,728.2,43,92.6,25.5,0,103,12,6,24.2
01-07-2022 16:40,728.2,44,92.3,25.7,0,186,9,4,24.4
01-07-2022 16:45,728.1,44,91.6,25.6,0,189,9,3,24.1
01-07-2022 16:50,728,42,90,25.4,0,170,11,4,23.6
01-07-2022 16:55,728.1,41,88.4,25.7,0,145,9,3,23.6
